N,Mean_Integral,Variance,Std_Dev,Error,Relative_Error(%)
10,0.5586168587936451,0.004210418036180274,0.06488773409651684,0.0008705734426113221,0.15608771684842357
20,0.5609274018208072,0.0020814651221419535,0.0456230766404673,0.0031811164697734817,0.5703518881835948
30,0.562961642203859,0.0014663613247418252,0.03829309761225677,0.005215356852825259,0.9350769318961619
40,0.552657332608491,0.0009931140394310839,0.03151371192720851,0.0050889527425427294,0.9124135608253938
50,0.5591851238629011,0.0009194018248097598,0.030321639546860915,0.0014388385118673241,0.25797366108171377
60,0.55865829574234,0.0006971839476329812,0.026404241091782608,0.0009120103913062838,0.16351707133867932
70,0.5593574738638603,0.0005040575985342463,0.022451227105310886,0.0016111885128264891,0.28887480833914314
80,0.5577281402234473,0.0005388663711049015,0.02321349545210504,1.814512758646636e-05,0.0032532942061722914
100,0.5570269351493995,0.00043541388967033057,0.02086657350094477,0.0007193502016342723,0.1289744495889432
200,0.5594459442551245,0.0002337272402823861,0.015288140510944622,0.0016996589040907395,0.3047369294483082
500,0.5553947556173082,8.608943288854063e-05,0.009278439140746714,0.0023515297337255436,0.421612800566756
